author_sort,title,series,series_index,Stars (out of 5)
"Auel, Jean M.",The Plains of Passage,Earth's children,4,5
"Auel, Jean M.",The Shelters of Stone,Earth's children,5,5
"Auel, Jean M.",The Land of Painted Caves,Earth's children,6,5
"Auel, Jean M.",The Mammoth Hunters,,1,5
"Auletta, Ken",Googled,,1,5
"Aurelius, Marcus & Hays, Gregory",Meditations,,1,4
"Austen, Charles",Like Warm Sun on Nekkid Bottoms,,1,5
"Austen, Jane",Emma,,1,5
"Austen, Jane",Mansfield Park,,1,5
"Austen, Jane",Northanger Abbey,,1,5
"Austen, Jane",Persuasion,,1,5
"Austen, Jane",Pride and Prejudice,,1,5
